,Tweet_ID,category,hate_users,creation_date
0,572342978255048705,racism,@thefoxbandit,2015-03-02 10:29:34
1,572341498827522049,racism,@trish2295,2015-03-02 10:23:41
2,572340476503724032,racism,@foodbling,2015-03-02 10:19:37
3,572334712804384768,racism,@lilbeastunleash,2015-03-02 09:56:43
4,572332655397629952,racism,@JL_Whitaker,2015-03-02 09:48:33
5,575949086055997440,racism,@dpwain,2015-03-12 09:18:57
6,551659627872415744,racism,-,-
7,551763146877452288,racism,-,-
8,551768543277355009,racism,-,-
9,551769061055811584,racism,-,-
10,551769698917167104,racism,-,-
11,551779988567891969,racism,-,-
12,551783732466577408,racism,-,-
13,551787027725705216,racism,-,-
14,551787273256050688,racism,-,-
15,551787717168619521,racism,-,-
16,551796768623435776,racism,-,-
17,551797843472556032,racism,-,-
18,551798472827883520,racism,-,-
19,551799120080293888,racism,-,-
20,551804052606967810,racism,-,-
21,551807282153934848,racism,-,-
22,551812016768172032,racism,-,-
23,551935344644349952,racism,-,-
24,551935446427504640,racism,-,-
25,551984700764332032,racism,-,-
26,552131027590586368,racism,-,-
27,552132765592727553,racism,-,-
28,552133306553073665,racism,-,-
29,552178267927883776,racism,-,-
30,552242912487305218,racism,-,-
31,552243885196734464,racism,-,-
32,552245992721252352,racism,-,-
33,552246388025982976,racism,-,-
34,552247283438587905,racism,-,-
35,552247950039326720,racism,-,-
36,552248563330482176,racism,-,-
37,552252662381432832,racism,-,-
38,552253146970337280,racism,-,-
39,552253495328247809,racism,-,-
40,552253987701788672,racism,-,-
41,552254351754817536,racism,-,-
42,552254776218365953,racism,-,-
43,552255235863756800,racism,-,-
44,552255665301749760,racism,-,-
45,552256116952805376,racism,-,-
46,552256504485527554,racism,-,-
47,552256837819449344,racism,-,-
48,552257230037213184,racism,-,-
49,552257644853862400,racism,-,-
50,552257867932106752,racism,-,-
51,552258072148582400,racism,-,-
52,552258490316492800,racism,-,-
53,552258840889028608,racism,-,-
54,552259230208499712,racism,-,-
55,552259592634114048,racism,-,-
56,552260022130864128,racism,-,-
57,552260502777102336,racism,-,-
58,552261139837370368,racism,-,-
59,552261703241453569,racism,-,-
60,552262508711399425,racism,-,-
61,552266284344553472,racism,-,-
62,552302969283436545,racism,-,-
63,552304521637285889,racism,-,-
64,552308801228259328,racism,-,-
65,552309137896640515,racism,-,-
66,552310296652828673,racism,-,-
67,552311142539079680,racism,-,-
68,552311743998070785,racism,-,-
69,552313304358846464,racism,-,-
70,552313552154157057,racism,-,-
71,552331392622010368,racism,-,-
