Hate_ID,Counter_ID,category
572347842456522752,572354206369120256,sexism
572347842456522752,572348184183377920,sexism
572344614910349312,572345328302620672,sexism
572344114332626944,572354920214503424,sexism
572344114332626944,572345396988534785,sexism
572344011043688448,572734159296200704,sexism
572344011043688448,572733724413972482,sexism
572344011043688448,572345972786782208,sexism
572342652907044864,572344533989515264,sexism
572342652907044864,572344533989515264,none
572342652907044864,572342865210155010,sexism
572342652907044864,572342865210155010,none
572337046909423617,572342261112950784,sexism
572341118118936577,573436433811120128,sexism
572341118118936577,573436433811120128,none
572341118118936577,572341469047996416,sexism
572341118118936577,572341469047996416,none
572339059613298689,572348083293442048,sexism
572317842722299904,575547174890659841,sexism
572317842722299904,572323508027445248,sexism
572339639240929281,572356616781082624,sexism
572339639240929281,572356616781082624,none
572339639240929281,572355667261980673,sexism
572339639240929281,572355667261980673,none
572319608947912704,572319949550723073,sexism
572330821433966592,572339143084142592,sexism
572315829531881473,572352111045844992,sexism
572337509159452672,572338230231617536,sexism
572337509159452672,572338230231617536,none
572336970979885056,572356916262805504,sexism
572336970979885056,572356916262805504,none
572336799340630016,572338771967930368,sexism
572336799340630016,572338771967930368,none
572336657384407040,572357039185268736,sexism
572336657384407040,572357039185268736,none
572335442869133312,572338645950062593,sexism
572335112303472641,572359017307062272,sexism
572334123861200898,572334418716577794,sexism
572332267328049153,572333222958243840,sexism
572332267328049153,572332778534014976,sexism
572332267328049153,572332419061137408,sexism
572332024930832385,572332500208504833,sexism
572332024930832385,572332258662563841,sexism
572331917959274496,572348375170883584,sexism
572331886988537857,572332544424738817,sexism
572331393264455680,572335365916262401,sexism
572331393264455680,572333869011087360,sexism
572331393264455680,572332336240410624,sexism
572331177714950144,572332478725111808,sexism
572329874351759361,572333075759120385,sexism
572329430023974913,572332765338718209,sexism
572329124523479041,572329634924134400,sexism
572328580455133184,573738754973638656,sexism
572328580455133184,572328890594508801,sexism
572364514735226882,572368856406048768,sexism
572364514735226882,572367567630684160,sexism
572364514735226882,572364646503477249,sexism
572362119473070081,572363325817823233,sexism
572362119473070081,572362836116037632,sexism
572352034466209792,572366518215839745,sexism
572351483007516672,572356815817596928,sexism
572349746490187776,572381978898534400,sexism
572349746490187776,572352508078637056,sexism
572347920185344000,572348327154487296,sexism
572347920185344000,572348220870795264,sexism
575644999477370880,575652446724227072,sexism
575604590432878592,575605508314279936,sexism
575604590432878592,575605372699873280,sexism
575597023069478912,575604213205495808,sexism
575597023069478912,575603329780178944,sexism
575597023069478912,575597306889703424,sexism
575596945130938368,575597152203837441,sexism
575596945130938368,575597107551195136,sexism
575596751224078336,575596986885263360,sexism
575596645385007104,575643561523179520,sexism
575596477247979521,575596624304476160,sexism
575596436252852224,575596437066637312,sexism
575596361418076161,575600474549694464,sexism
575596361418076161,575599491803299840,sexism
575596361418076161,575597235003465728,sexism
575596082371002368,575596654432100352,sexism
575596078143164416,575615244279549952,sexism
575596078143164416,575607414990462976,sexism
575596078143164416,575596770090184704,sexism
575596017912934400,575596383979200512,sexism
575595916905721856,575746845386784768,sexism
575595916905721856,575744959556550657,sexism
575595916905721856,575602514730565632,sexism
575595916905721856,575600426902405121,sexism
575595805228163075,575813230708178945,sexism
575595805228163075,575596356426801152,sexism
575595682163097600,575596872229777408,sexism
575595681693462529,575597536364261376,sexism
575595681693462529,575596237207941121,sexism
575595652006068224,575596979339726848,sexism
575595632242503680,575596678117396480,sexism
575974463445020673,575997647909187584,sexism
575972812743143425,575973188074487809,sexism
575957672769388544,575959365254942722,sexism
575957412747853824,577766909673746432,sexism
575957412747853824,575976144400293888,sexism
575957278542581760,575960266074017793,sexism
575957278542581760,575957699998806016,sexism
575957215195963392,575969804546273280,sexism
575957215195963392,575969318439030784,sexism
575957161878093824,575959612467212288,sexism
575957125144403968,575959373186387970,sexism
575952061868560384,575952500366299137,sexism
575951228368089088,575951604270026752,sexism
575951228368089088,575951439362543616,sexism
575948108531527680,575965334663888896,sexism
575948108531527680,575962835924221952,sexism
562307702853238784,562391641601105923,sexism
562678175852167172,562846425638510593,sexism
564642621206065153,564763979508350976,sexism
565103397821370368,567507473364701184,sexism
565103397821370368,565192328298913792,sexism
565103397821370368,565192139689435136,sexism
565103640096956417,565106633781813248,sexism
565103820611387392,565104526748037120,sexism
567146536984141824,567153882732572674,sexism
567146536984141824,567147547538784256,sexism
567146536984141824,567147184072978433,sexism
569154735976001536,569181920128421888,sexism
569154735976001536,569162845360951296,sexism
569154735976001536,569161530094145536,sexism
569717690757193728,570285588592488448,sexism
569717690757193728,569867410246930433,sexism
569717690757193728,569753529511845889,sexism
571022296846114817,571028631494881280,sexism
571022296846114817,571024388398522368,sexism
571022296846114817,571022834094505985,sexism
571022296846114817,571022474848051200,sexism
571442258681192448,571446244314361856,sexism
571897828253048833,571898197637005312,sexism
390959354922299392,390987932531576832,sexism
395011545718980608,395082741739692032,sexism
429760706649407488,429767876216492033,sexism
474246656850812931,474246764179251200,sexism
495298925314998272,497110999283933187,sexism
575948721067847680,575949135049682944,sexism
575948721067847680,575948907848409088,sexism
572362946531106819,572364685187522560,sexism
